Country,Github,Wolfram
Russia,Tula Oblast,Tula
Russia,Udmurt Republic,Udmurt 
Russia,Vologda Oblast,Vologda
Russia,Rostov Oblast,Rostov
Russia,Novosibirsk Oblast,Novosibirsk 
Russia,Sakhalin Oblast,Sakhalin
Russia,Tver Oblast,Tver
Russia,Kirov Oblast,Kirov
Russia,Krasnoyarsk Krai,Krasnoyarsk
Russia,Perm Krai,Perm
Russia,Stavropol Krai,Stavropol
Russia,Kalmykia Republic,Kalmyk
Russia,Kemerovo Oblast,Kemerovo
Russia,Dagestan Republic,Dagestan
Russia,Kostroma Oblast,Kostroma
Russia,Saint Petersburg,Leningrad
Sweden,Vastra Gotaland,Västra Götaland
Sweden,Gavleborg,Gävleborg
Sweden,Varmland,Värmland
Sweden,Vasternorrland,Västernorrland
Sweden,Skane,Scania
Sweden,Sormland,Sodermanland
Ukraine,Volyn Oblast,Volyn
Ukraine,Kherson Oblast,Herson
Ukraine,Rivne Oblast,Rivne
Ukraine,Donetsk Oblast,Donetsk
Ukraine,Lviv Oblast,Lviv
Ukraine,Vinnytsia Oblast,Vinnica
Ukraine,Kiev Oblast,Kiev
Ukraine,Zakarpattia Oblast,Transcarphatia
Ukraine,Kirovohrad Oblast,Kirovograd
Ukraine,Dnipropetrovsk Oblast,Dnipropetrovsk
Ukraine,Cherkasy Oblast,Cherkask
Ukraine,Crimea Republic*,Crimea
Ukraine,Mykolaiv Oblast,Mykoyivsk
Ukraine,Ivano-Frankivsk Oblast,Ivano-Frankivsk
Ukraine,Zhytomyr Oblast,Zhitomir
Ukraine,Odessa Oblast,Odesa
Ukraine,Kharkiv Oblast,Harkov
Ukraine,Sumy Oblast,Sumska
Ukraine,Poltava Oblast,Poltava
Ukraine,Zaporizhia Oblast,Zaporizhzhya
Ukraine,Khmelnytskyi Oblast,Khmelnytskyi
Ukraine,Luhansk Oblast,Lugansk
Ukraine,Chernihiv Oblast,Chernigov
Ukraine,Ternopil Oblast,Ternopil
